geoid,name,B01003001,"B01003001, Error"
04000US01,Alabama,5054253,
04000US02,Alaska,733971,
04000US04,Arizona,7268175,
04000US05,Arkansas,3032651,
04000US06,California,39242784,
04000US08,Colorado,5810774,
04000US09,Connecticut,3598348,
04000US10,Delaware,1005872,
04000US11,District of Columbia,672079,
04000US12,Florida,21928880,
04000US13,Georgia,10822590,
04000US15,Hawaii,1445635,
04000US16,Idaho,1893296,
04000US17,Illinois,12692653,
04000US18,Indiana,6811752,
04000US19,Iowa,3195937,
04000US20,Kansas,2937569,
04000US21,Kentucky,4510725,
04000US22,Louisiana,4621025,
04000US23,Maine,1377400,
04000US24,Maryland,6170738,
04000US25,Massachusetts,6992395,
04000US26,Michigan,10051595,
04000US27,Minnesota,5713716,
04000US28,Mississippi,2951438,
04000US29,Missouri,6168181,
04000US30,Montana,1105072,
04000US31,Nebraska,1965926,
04000US32,Nevada,3141000,
04000US33,New Hampshire,1387834,
04000US34,New Jersey,9267014,
04000US35,New Mexico,2114768,
04000US36,New York,19872320,
04000US37,North Carolina,10584340,
04000US38,North Dakota,779361,
04000US39,Ohio,11780046,
04000US40,Oklahoma,3995260,
04000US41,Oregon,4238714,
04000US42,Pennsylvania,12986518,
04000US44,Rhode Island,1095371,
04000US45,South Carolina,5212774,
04000US46,South Dakota,899194,
04000US47,Tennessee,6986082,
04000US48,Texas,29640344,
04000US49,Utah,3331187,
04000US50,Vermont,645254,
04000US51,Virginia,8657499,
04000US53,Washington,7740984,
04000US54,West Virginia,1784462,
04000US55,Wisconsin,5892023,
04000US56,Wyoming,579761,
