Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series,State,District,Date of Challenge/Removal
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,South Carolina,South Carolina Board of Education,2024-10-01
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,South Carolina,South Carolina Board of Education,2024-10-01
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,South Carolina,South Carolina Board of Education,2024-10-01
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,South Carolina,South Carolina Board of Education,2024-10-01
All Boys Aren't Blue,"Johnson, George M.",,,,,South Carolina,South Carolina Board of Education,2025-02-01
Collateral,"Hopkins, Ellen",,,,,South Carolina,South Carolina Board of Education,2025-05-01
Crank,"Hopkins, Ellen",,,,Crank,South Carolina,South Carolina Board of Education,2024-12-01
Damsel,"Arnold, Elana K.",,,,,South Carolina,South Carolina Board of Education,2024-10-01
Empire of Storms,"Maas, Sarah J.",,,,Throne of Glass,South Carolina,South Carolina Board of Education,2025-05-01
Flamer,"Curato, Mike",,,,,South Carolina,South Carolina Board of Education,2025-02-01
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,South Carolina,South Carolina Board of Education,2025-05-01
Hopeless,"Hoover, Colleen",,,,Hopeless,South Carolina,South Carolina Board of Education,2025-05-01
Identical,"Hopkins, Ellen",,,,,South Carolina,South Carolina Board of Education,2025-05-01
Kingdom of Ash,"Maas, Sarah J.",,,,Throne of Glass,South Carolina,South Carolina Board of Education,2025-05-01
Last Night at the Telegraph Club,"Lo, Malinda",,,,,South Carolina,South Carolina Board of Education,2025-05-01
Living Dead Girl,"Scott, Elizabeth",,,,,South Carolina,South Carolina Board of Education,2025-05-01
Lucky (AS),"Sebold, Alice",,,,,South Carolina,South Carolina Board of Education,2025-05-01
Normal People,"Rooney, Sally",,,,,South Carolina,South Carolina Board of Education,2024-10-01
Push,Sapphire,,,,,South Carolina,South Carolina Board of Education,2025-02-01
The Perks of Being a Wallflower,"Chbosky, Stephen",,,,,South Carolina,South Carolina Board of Education,2025-02-01
Tricks,"Hopkins, Ellen",,,,Tricks,South Carolina,South Carolina Board of Education,2025-05-01
Ugly Love,"Hoover, Colleen",,,,,South Carolina,South Carolina Board of Education,2024-10-01
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Utah State Board of Education,2024-08-01
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Utah State Board of Education,2024-08-01
A ​Court of Silver Flames,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Utah State Board of Education,2024-08-01
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Utah State Board of Education,2024-08-01
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Utah State Board of Education,2024-08-01
Blankets,"Thompson, Craig",,,,,Utah,Utah State Board of Education,2024-08-01
Damsel,"Arnold, Elana K.",,,,,Utah,Utah State Board of Education,2025-01-01
Empire of Storms,"Maas, Sarah J.",,,,Throne of Glass,Utah,Utah State Board of Education,2024-08-01
Fallout,"Hopkins, Ellen",,,,Crank,Utah,Utah State Board of Education,2024-08-01
Forever...,"Blume, Judy",,,,,Utah,Utah State Board of Education,2024-08-01
Like a Love Story,"Nazemian, Abdi",,,,,Utah,Utah State Board of Education,2025-01-01
Living Dead Girl,"Scott, Elizabeth",,,,,Utah,Utah State Board of Education,2024-11-01
Milk and Honey,"Kaur, Rupi",,,,,Utah,Utah State Board of Education,2024-08-01
Oryx and Crake,"Atwood, Margaret",,,,MaddAddam,Utah,Utah State Board of Education,2024-08-01
Tilt (EH),"Hopkins, Ellen",,,,,Utah,Utah State Board of Education,2024-08-01
Tricks,"Hopkins, Ellen",,,,Tricks,Utah,Utah State Board of Education,2024-03-01
Water for Elephants,"Gruen, Sara",,,,,Utah,Utah State Board of Education,2025-05-01
What Girls Are Made Of,"Arnold, Elana K.",,,,,Utah,Utah State Board of Education,2024-08-01
